"","Order.number.of.item","Label","PennElementType","PennElementName","Parameter","Value","EventTime","trial_id","group","Comments","random_id"
"1",1,"consent","PennController","0","_Trial_","Start","1732467488806","NULL","","","88"
"2",1,"consent","Html","consent_form","prolific_id","673f9ffa193504a3b5059159","1732467511331","text input","","","88"
"3",1,"consent","Html","consent_form","consent","checked","1732467511331","checkbox","","","88"
"4",1,"consent","PennController","0","_Trial_","End","1732467511331","NULL","","","88"
"5",2,"instruction-start","PennController","1","_Trial_","Start","1732467511332","NULL","","","88"
"6",2,"instruction-start","PennController","1","_Trial_","End","1732467519815","NULL","","","88"
"7",3,"instruction-gumball","PennController","2","_Trial_","Start","1732467519817","NULL","","","88"
"8",3,"instruction-gumball","PennController","2","_Trial_","End","1732467535051","NULL","","","88"
"9",4,"instruction-A-1","PennController","3","_Trial_","Start","1732467535052","NULL","","","88"
"10",4,"instruction-A-1","PennController","3","_Trial_","End","1732467553758","NULL","","","88"
"11",5,"check-A-1","PennController","4","_Trial_","Start","1732467553758","NULL","","","88"
"12",5,"check-A-1","Button","go-back","Click",NA,"Never","NULL","","","88"
"13",5,"check-A-1","Button","proceed","Click","Click","1732467556381","NULL","","","88"
"14",5,"check-A-1","PennController","4","_Trial_","End","1732467556381","NULL","","","88"
"15",6,"instruction-slider-1","PennController","5","_Trial_","Start","1732467556382","NULL","","","88"
"16",6,"instruction-slider-1","PennController","5","_Trial_","End","1732467565205","NULL","","","88"
"17",7,"check-slider-1","PennController","6","_Trial_","Start","1732467565206","NULL","","","88"
"18",7,"check-slider-1","Button","proceed","Click","Click","1732467611271","NULL","","","88"
"19",7,"check-slider-1","PennController","6","_Trial_","End","1732467611272","NULL","","","88"
"20",8,"practice-start","PennController","7","_Trial_","Start","1732467611273","NULL","","","88"
"21",8,"practice-start","PennController","7","_Trial_","End","1732467627699","NULL","","","88"
"22",9,"practice","PennController","18","_Trial_","Start","1732467627700","g_p9","a","NULL","88"
"23",9,"practice","Image","image","Print",NA,"1732467627700","g_p9","a","NULL","88"
"24",9,"practice","Scale","slider-1","Default","0","1732467627702","g_p9","a","slider","88"
