"","Order.number.of.item","Label","PennElementType","PennElementName","Parameter","Value","EventTime","trial_id","group","Comments","random_id"
"1",1,"consent","PennController","0","_Trial_","Start","1753795968674","NULL","","","88"
"2",1,"consent","Html","consent_form","prolific_id","65ccfdf16bdcab83d5bd1163","1753795978574","text input","","","88"
"3",1,"consent","Html","consent_form","consent","checked","1753795978574","checkbox","","","88"
"4",1,"consent","PennController","0","_Trial_","End","1753795978574","NULL","","","88"
"5",2,"instruction-start","PennController","1","_Trial_","Start","1753795978576","NULL","","","88"
"6",2,"instruction-start","PennController","1","_Trial_","End","1753796014876","NULL","","","88"
"7",3,"instruction-gumball","PennController","2","_Trial_","Start","1753796014877","NULL","","","88"
"8",3,"instruction-gumball","PennController","2","_Trial_","End","1753796024132","NULL","","","88"
"9",4,"instruction-A-1","PennController","3","_Trial_","Start","1753796024133","NULL","","","88"
"10",4,"instruction-A-1","PennController","3","_Trial_","End","1753796030964","NULL","","","88"
"11",5,"check-A-1","PennController","4","_Trial_","Start","1753796030965","NULL","","","88"
"12",5,"check-A-1","Button","go-back","Click",NA,"Never","NULL","","","88"
"13",5,"check-A-1","Button","proceed","Click","Click","1753796034820","NULL","","","88"
"14",5,"check-A-1","PennController","4","_Trial_","End","1753796034820","NULL","","","88"
"15",6,"instruction-slider-1","PennController","5","_Trial_","Start","1753796034821","NULL","","","88"
"16",6,"instruction-slider-1","PennController","5","_Trial_","End","1753796041075","NULL","","","88"
"17",7,"check-slider-1","PennController","6","_Trial_","Start","1753796041075","NULL","","","88"
"18",7,"check-slider-1","Button","proceed","Click",NA,"Never","NULL","","","88"
"19",7,"check-slider-1","PennController","6","_Trial_","End","1753796050413","NULL","","","88"
"20",6,"instruction-slider-1","PennController","5","_Trial_","Start","1753796050413","NULL","","","88"
"21",6,"instruction-slider-1","PennController","5","_Trial_","End","1753796059612","NULL","","","88"
"22",7,"check-slider-1","PennController","6","_Trial_","Start","1753796059613","NULL","","","88"
"23",7,"check-slider-1","Button","proceed","Click",NA,"Never","NULL","","","88"
"24",7,"check-slider-1","PennController","6","_Trial_","End","1753796063934","NULL","","","88"
"25",6,"instruction-slider-1","PennController","5","_Trial_","Start","1753796063934","NULL","","","88"
"26",6,"instruction-slider-1","PennController","5","_Trial_","End","1753796073196","NULL","","","88"
"27",7,"check-slider-1","PennController","6","_Trial_","Start","1753796073196","NULL","","","88"
"28",7,"check-slider-1","Button","proceed","Click","Click","1753796073971","NULL","","","88"
"29",7,"check-slider-1","PennController","6","_Trial_","End","1753796073972","NULL","","","88"
"30",8,"practice-gumball-start","PennController","7","_Trial_","Start","1753796073972","NULL","","","88"
"31",8,"practice-gumball-start","PennController","7","_Trial_","End","1753796076115","NULL","","","88"
"32",9,"practice-gumball","PennController","22","_Trial_","Start","1753796076115","g_p1","a","NULL","88"
"33",9,"practice-gumball","Scale","slider-1","Default","0","1753796076116","g_p1","a","slider","88"
"34",9,"practice-gumball","Scale","slider-2","Choice","30","1753796094243","g_p1","a","159","88"
