group,id,condition,context,question,image,probably,might,bare,type,correct,incorrect
a,g_p3,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_30.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p5,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_50.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p5,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_50.png,gumball_purple_30.png
a,g_p8,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_80.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o1,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_10.png,gumball_orange_30.png
a,g_o3,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_30.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o3,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_30.png,gumball_orange_10.png
a,g_o5,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_50.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_90.png,gumball_purple_70.png
a,g_o8,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_80.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o7,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_70.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_p2,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_20.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p1,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_10.png,gumball_purple_30.png
a,g_p6,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_60.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p7,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_70.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p7,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_70.png,gumball_purple_50.png
a,g_o4,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_40.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o4,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_40.png,gumball_orange_20.png
a,g_o2,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_20.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_p4,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_40.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_o6,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_60.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_p5,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_50.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_p6,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_60.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_o3,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_30.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o8,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_80.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o8,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_80.png,gumball_orange_60.png
a,g_o7,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_70.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
