group,id,condition,context,question,image,probably,might,bare,type,correct,incorrect
a,e_y4,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_40.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_x4,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_40.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x4,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_x_40.png,unk_election_x_20.png
a,e_y2,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_20.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_90.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_x8,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_80.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_y1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_10.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y7,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_70.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y7,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_y_70.png,unk_election_y_50.png
a,e_x5,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_50.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x5,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_x_50.png,unk_election_x_30.png
a,e_x2,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_20.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x2,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_x_20.png,unk_election_x_40.png
a,e_y5,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_50.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y5,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_y_50.png,unk_election_y_30.png
a,e_y6,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_60.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y6,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_y_60.png,unk_election_y_40.png
a,e_x9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_90.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_10.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x1,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_x_10.png,unk_election_x_30.png
a,e_y3,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_30.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y3,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_y_30.png,unk_election_y_10.png
a,e_x3,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_30.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_y8,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_80.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y8,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_y_80.png,unk_election_y_60.png
a,e_x7,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_70.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x6,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_60.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x4,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_40.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x3,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_30.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x6,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_60.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_x6,unk_election,Please select the image you just saw.,,,,,,attention-check,unk_election_x_60.png,unk_election_x_40.png
a,e_y9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_90.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_x7,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_70.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
a,e_y1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_10.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_y7,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_y_70.png,Party Y will probably win,Party Y might win,Party Y will not win,experimental-trial,,
a,e_x8,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,unk_election_x_80.png,Party X will probably win,Party X might win,Party X will not win,experimental-trial,,
