group,id,condition,question,content
a,g_p2,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 20% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 80% <span style='color: #FFA500'>orange</span> gumballs
a,g_p6,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 60% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 40% <span style='color: #FFA500'>orange</span> gumballs
a,g_p9,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs
a,g_p4,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 40% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 60% <span style='color: #FFA500'>orange</span> gumballs
a,g_p8,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 80% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 20% <span style='color: #FFA500'>orange</span> gumballs
a,g_p3,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 30% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 70% <span style='color: #FFA500'>orange</span> gumballs
a,g_p1,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs
a,g_p5,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 50% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 50% <span style='color: #FFA500'>orange</span> gumballs
a,g_p7,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 70% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 30% <span style='color: #FFA500'>orange</span> gumballs
b,g_p2,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 20% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 80% <span style='color: #FFA500'>orange</span> gumballs
b,g_p6,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 60% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 40% <span style='color: #FFA500'>orange</span> gumballs
b,g_p9,gumball,"What <b>do you think</b> is the probability of getting a <span style='color: #BF40BF'>purple</span> gumball? If you are uncertain about what the probability of getting a <span style='color: #BF40BF'>purple</span> gumball is, please select all of the probabilities that you think are plausible.",------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs
