group,id,condition,context,instruction,probably,might,bare,type,correct,incorrect,content,question
a,g_p8,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 80% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 20% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p2,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 20% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 80% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p6,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 60% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 40% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p5,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 50% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 50% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p7,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 70% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 30% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p4,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 40% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 60% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p1,gumball,Please select the percentage of <span style='color: #BF40BF'>purple</span> gumballs you just saw.,,,,,attention-check,10%,30%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p3,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 30% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 70% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p3,gumball,Please select the percentage of <span style='color: #BF40BF'>purple</span> gumballs you just saw.,,,,,attention-check,30%,10%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
