group,id,condition,context,instruction,probably,might,bare,type,correct,incorrect,content,question
a,e_x1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
a,e_x9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
a,e_x9,unk_election,Please select the predicted chance of <span style='color: #BF40BF'>Party X</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
b,e_x1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
b,e_x9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
b,e_x9,unk_election,Please select the predicted chance of <span style='color: #BF40BF'>Party X</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
c,e_y1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #FFA500'>Party Y</span>  will probably win,<span style='color: #FFA500'>Party Y</span>  might win,<span style='color: #FFA500'>Party Y</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
c,e_y9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #FFA500'>Party Y</span>  will probably win,<span style='color: #FFA500'>Party Y</span>  might win,<span style='color: #FFA500'>Party Y</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
c,e_y9,unk_election,Please select the predicted chance of <span style='color: #FFA500'>Party Y</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
d,e_y1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #FFA500'>Party Y</span>  will probably win,<span style='color: #FFA500'>Party Y</span>  might win,<span style='color: #FFA500'>Party Y</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
d,e_y9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #FFA500'>Party Y</span>  will probably win,<span style='color: #FFA500'>Party Y</span>  might win,<span style='color: #FFA500'>Party Y</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
d,e_y9,unk_election,Please select the predicted chance of <span style='color: #FFA500'>Party Y</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
e,e_x1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
e,e_x9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
e,e_x9,unk_election,Please select the predicted chance of <span style='color: #BF40BF'>Party X</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
f,e_x1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
f,e_x9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #BF40BF'>Party X</span>  will probably win,<span style='color: #BF40BF'>Party X</span>  might win,<span style='color: #BF40BF'>Party X</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
f,e_x9,unk_election,Please select the predicted chance of <span style='color: #BF40BF'>Party X</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #BF40BF'>Party X</span> win the election?<br>-------------------------------------------<br>
g,e_y1,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #FFA500'>Party Y</span>  will probably win,<span style='color: #FFA500'>Party Y</span>  might win,<span style='color: #FFA500'>Party Y</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
g,e_y9,unk_election,Person <b>A</b> wants to know the results of the election based on the prediction below.,How likely are you to respond to A with each of the following responses?,<span style='color: #FFA500'>Party Y</span>  will probably win,<span style='color: #FFA500'>Party Y</span>  might win,<span style='color: #FFA500'>Party Y</span>  will not win,experimental-trial,,,-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
g,e_y9,unk_election,Please select the predicted chance of <span style='color: #FFA500'>Party Y</span> winning you just saw.,How likely are you to respond to A with each of the following responses?,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will <span style='color: #FFA500'>Party Y</span> win the election?<br>-------------------------------------------<br>
