group,id,condition,context,instruction,probably,might,bare,type,correct,incorrect,content,question
a,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
a,g_p9,gumball,Please select the percentage of <span style='color: #BF40BF'>purple</span> gumballs you just saw.,,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
b,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
b,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get a <span style='color: #BF40BF'>purple</span> one,You might get a <span style='color: #BF40BF'>purple</span> one,You will not get a <span style='color: #BF40BF'>purple</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
b,g_p9,gumball,Please select the percentage of <span style='color: #BF40BF'>purple</span> gumballs you just saw.,,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get a <span style='color: #BF40BF'>purple</span> gumball?<br>-------------------------------------------<br>
c,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get an <span style='color: #FFA500'>orange</span> one,You might get an <span style='color: #FFA500'>orange</span> one,You will not get an <span style='color: #FFA500'>orange</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get an <span style='color: #FFA500'>orange</span> gumball?<br>-------------------------------------------<br>
c,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get an <span style='color: #FFA500'>orange</span> one,You might get an <span style='color: #FFA500'>orange</span> one,You will not get an <span style='color: #FFA500'>orange</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 10% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 90% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get an <span style='color: #FFA500'>orange</span> gumball?<br>-------------------------------------------<br>
c,g_o9,gumball,Please select the percentage of <span style='color: #FFA500'>orange</span> gumballs you just saw.,,,,,attention-check,90%,70%,,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get an <span style='color: #FFA500'>orange</span> gumball?<br>-------------------------------------------<br>
d,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed bassed on the image below.,How likely are you to respond to A with each of the following responses?,You will probably get an <span style='color: #FFA500'>orange</span> one,You might get an <span style='color: #FFA500'>orange</span> one,You will not get an <span style='color: #FFA500'>orange</span> one,experimental-trial,,,------------------------------------------<br>SCENE<br>You see a gumball machine with: <br>  • 90% <span style='color: #BF40BF'>purple</span> gumballs<br>  • 10% <span style='color: #FFA500'>orange</span> gumballs,-------------------------------------------<br>QUESTION<br><b>A</b>: Will I get an <span style='color: #FFA500'>orange</span> gumball?<br>-------------------------------------------<br>
