"","random_id","trial_num","trial_id","value","utterance","outcome","event_type","color","sum","prob"
"1","24",9,"g_p9","0","bare not",90,"gumball","purple",100,0
"2","24",9,"g_p9","0","probably",90,"gumball","purple",100,0
"3","24",9,"g_p9","100","might",90,"gumball","purple",100,1
"4","24",10,"g_p1","0","probably",10,"gumball","purple",100,0
"5","24",10,"g_p1","0","bare not",10,"gumball","purple",100,0
"6","24",10,"g_p1","100","might",10,"gumball","purple",100,1
"7","24",11,"g_o9","0","bare not",90,"gumball","orange",100,0
"8","24",11,"g_o9","0","might",90,"gumball","orange",100,0
"9","24",11,"g_o9","100","probably",90,"gumball","orange",100,1
"10","24",13,"g_o1","0","bare not",10,"gumball","orange",97,0
"11","24",13,"g_o1","0","probably",10,"gumball","orange",97,0
"12","24",13,"g_o1","97","might",10,"gumball","orange",97,1
"13","24",15,"g_p3","0","probably",30,"gumball","purple",132,0
"14","24",15,"g_p3","100","might",30,"gumball","purple",132,0.757575757575758
"15","24",15,"g_p3","32","bare not",30,"gumball","purple",132,0.242424242424242
"16","24",16,"g_p5","0","probably",50,"gumball","purple",135,0
"17","24",16,"g_p5","100","might",50,"gumball","purple",135,0.740740740740741
"18","24",16,"g_p5","35","bare not",50,"gumball","purple",135,0.259259259259259
"19","24",18,"g_p8","0","bare not",80,"gumball","purple",139,0
"20","24",18,"g_p8","100","probably",80,"gumball","purple",139,0.719424460431655
"21","24",18,"g_p8","39","might",80,"gumball","purple",139,0.280575539568345
"22","24",19,"g_o1","0","probably",10,"gumball","orange",155,0
"23","24",19,"g_o1","55","might",10,"gumball","orange",155,0.354838709677419
"24","24",19,"g_o1","100","bare not",10,"gumball","orange",155,0.645161290322581
"25","24",21,"g_o3","0","bare not",30,"gumball","orange",100,0
"26","24",21,"g_o3","0","probably",30,"gumball","orange",100,0
"27","24",21,"g_o3","100","might",30,"gumball","orange",100,1
"28","24",23,"g_o5","0","bare not",50,"gumball","orange",100,0
"29","24",23,"g_o5","0","probably",50,"gumball","orange",100,0
"30","24",23,"g_o5","100","might",50,"gumball","orange",100,1
"31","24",24,"g_p9","0","bare not",90,"gumball","purple",100,0
"32","24",24,"g_p9","0","might",90,"gumball","purple",100,0
"33","24",24,"g_p9","100","probably",90,"gumball","purple",100,1
"34","24",26,"g_o8","0","might",80,"gumball","orange",100,0
"35","24",26,"g_o8","0","bare not",80,"gumball","orange",100,0
"36","24",26,"g_o8","100","probably",80,"gumball","orange",100,1
"37","24",27,"g_o7","0","might",70,"gumball","orange",100,0
"38","24",27,"g_o7","0","bare not",70,"gumball","orange",100,0
"39","24",27,"g_o7","100","probably",70,"gumball","orange",100,1
"40","24",28,"g_p2","0","probably",20,"gumball","purple",80,0
"41","24",28,"g_p2","54","might",20,"gumball","purple",80,0.675
"42","24",28,"g_p2","26","bare not",20,"gumball","purple",80,0.325
"43","24",29,"g_p1","0","probably",10,"gumball","purple",152,0
"44","24",29,"g_p1","52","might",10,"gumball","purple",152,0.342105263157895
"45","24",29,"g_p1","100","bare not",10,"gumball","purple",152,0.657894736842105
"46","24",31,"g_p6","0","bare not",60,"gumball","purple",129,0
"47","24",31,"g_p6","100","might",60,"gumball","purple",129,0.775193798449612
"48","24",31,"g_p6","29","probably",60,"gumball","purple",129,0.224806201550388
"49","24",32,"g_p7","0","bare not",70,"gumball","purple",138,0
"50","24",32,"g_p7","100","might",70,"gumball","purple",138,0.72463768115942
"51","24",32,"g_p7","38","probably",70,"gumball","purple",138,0.27536231884058
"52","24",34,"g_o4","0","bare not",40,"gumball","orange",100,0
"53","24",34,"g_o4","0","probably",40,"gumball","orange",100,0
"54","24",34,"g_o4","100","might",40,"gumball","orange",100,1
"55","24",36,"g_o2","0","probably",20,"gumball","orange",109,0
"56","24",36,"g_o2","24","might",20,"gumball","orange",109,0.220183486238532
"57","24",36,"g_o2","85","bare not",20,"gumball","orange",109,0.779816513761468
"58","24",37,"g_p4","0","probably",40,"gumball","purple",100,0
"59","24",37,"g_p4","0","bare not",40,"gumball","purple",100,0
"60","24",37,"g_p4","100","might",40,"gumball","purple",100,1
"61","24",38,"g_o6","0","bare not",60,"gumball","orange",131,0
"62","24",38,"g_o6","100","might",60,"gumball","orange",131,0.763358778625954
"63","24",38,"g_o6","31","probably",60,"gumball","orange",131,0.236641221374046
"64","24",39,"g_o9","0","bare not",90,"gumball","orange",100,0
"65","24",39,"g_o9","100","probably",90,"gumball","orange",100,1
"66","24",39,"g_o9","0","might",90,"gumball","orange",100,0
"67","24",40,"g_p5","0","probably",50,"gumball","purple",100,0
"68","24",40,"g_p5","0","bare not",50,"gumball","purple",100,0
"69","24",40,"g_p5","100","might",50,"gumball","purple",100,1
"70","24",41,"g_o9","0","bare not",90,"gumball","orange",100,0
"71","24",41,"g_o9","0","might",90,"gumball","orange",100,0
"72","24",41,"g_o9","100","probably",90,"gumball","orange",100,1
"73","24",42,"g_p6","0","bare not",60,"gumball","purple",118,0
"74","24",42,"g_p6","100","probably",60,"gumball","purple",118,0.847457627118644
"75","24",42,"g_p6","18","might",60,"gumball","purple",118,0.152542372881356
"76","24",43,"g_o3","0","probably",30,"gumball","orange",93,0
"77","24",43,"g_o3","24","bare not",30,"gumball","orange",93,0.258064516129032
"78","24",43,"g_o3","69","might",30,"gumball","orange",93,0.741935483870968
"79","24",44,"g_o8","0","bare not",80,"gumball","orange",100,0
"80","24",44,"g_o8","0","might",80,"gumball","orange",100,0
"81","24",44,"g_o8","100","probably",80,"gumball","orange",100,1
"82","24",46,"g_o7","0","bare not",70,"gumball","orange",100,0
"83","24",46,"g_o7","0","might",70,"gumball","orange",100,0
"84","24",46,"g_o7","100","probably",70,"gumball","orange",100,1
"85","24",47,"g_o4","0","bare not",40,"gumball","orange",100,0
"86","24",47,"g_o4","0","probably",40,"gumball","orange",100,0
"87","24",47,"g_o4","100","might",40,"gumball","orange",100,1
"88","24",49,"g_p3","0","bare not",30,"gumball","purple",100,0
"89","24",49,"g_p3","0","probably",30,"gumball","purple",100,0
"90","24",49,"g_p3","100","might",30,"gumball","purple",100,1
"91","24",50,"g_o1","0","probably",10,"gumball","orange",142,0
"92","24",50,"g_o1","42","might",10,"gumball","orange",142,0.295774647887324
"93","24",50,"g_o1","100","bare not",10,"gumball","orange",142,0.704225352112676
"94","24",51,"g_o2","0","probably",20,"gumball","orange",153,0
"95","24",51,"g_o2","53","might",20,"gumball","orange",153,0.34640522875817
"96","24",51,"g_o2","100","bare not",20,"gumball","orange",153,0.65359477124183
"97","24",52,"g_p9","0","bare not",90,"gumball","purple",100,0
"98","24",52,"g_p9","0","might",90,"gumball","purple",100,0
"99","24",52,"g_p9","100","probably",90,"gumball","purple",100,1
"100","24",54,"g_p2","0","probably",20,"gumball","purple",119,0
"101","24",54,"g_p2","19","might",20,"gumball","purple",119,0.159663865546218
"102","24",54,"g_p2","100","bare not",20,"gumball","purple",119,0.840336134453782
"103","24",55,"g_p8","0","bare not",80,"gumball","purple",100,0
