"","random_id","trial_num","trial_id","value","utterance","outcome","event_type","color","sum","prob"
"1","24",9,"g_p1","0","probably",10,"gumball","purple",100,0
"2","24",9,"g_p1","0","bare not",10,"gumball","purple",100,0
"3","24",9,"g_p1","100","might",10,"gumball","purple",100,1
"4","24",10,"g_p9","0","bare not",90,"gumball","purple",200,0
"5","24",10,"g_p9","100","probably",90,"gumball","purple",200,0.5
"6","24",10,"g_p9","100","might",90,"gumball","purple",200,0.5
"7","24",13,"g_p8","0","bare not",80,"gumball","purple",200,0
"8","24",13,"g_p8","100","probably",80,"gumball","purple",200,0.5
"9","24",13,"g_p8","100","might",80,"gumball","purple",200,0.5
"10","24",14,"g_p2","0","bare not",20,"gumball","purple",100,0
"11","24",14,"g_p2","0","probably",20,"gumball","purple",100,0
"12","24",14,"g_p2","100","might",20,"gumball","purple",100,1
"13","24",15,"g_p6","0","bare not",60,"gumball","purple",200,0
"14","24",15,"g_p6","100","might",60,"gumball","purple",200,0.5
"15","24",15,"g_p6","100","probably",60,"gumball","purple",200,0.5
"16","24",16,"g_p5","0","bare not",50,"gumball","purple",100,0
"17","24",16,"g_p5","0","probably",50,"gumball","purple",100,0
"18","24",16,"g_p5","100","might",50,"gumball","purple",100,1
"19","24",17,"g_p7","0","bare not",70,"gumball","purple",200,0
"20","24",17,"g_p7","100","probably",70,"gumball","purple",200,0.5
"21","24",17,"g_p7","100","might",70,"gumball","purple",200,0.5
"22","24",18,"g_p4","0","bare not",40,"gumball","purple",100,0
"23","24",18,"g_p4","0","probably",40,"gumball","purple",100,0
"24","24",18,"g_p4","100","might",40,"gumball","purple",100,1
"25","24",19,"g_p1","0","bare not",10,"gumball","purple",100,0
"26","24",19,"g_p1","0","probably",10,"gumball","purple",100,0
"27","24",19,"g_p1","100","might",10,"gumball","purple",100,1
"28","24",21,"g_p3","0","probably",30,"gumball","purple",100,0
"29","24",21,"g_p3","0","bare not",30,"gumball","purple",100,0
"30","24",21,"g_p3","100","might",30,"gumball","purple",100,1
"31","24",23,"g_p9","0","bare not",90,"gumball","purple",200,0
"32","24",23,"g_p9","100","probably",90,"gumball","purple",200,0.5
"33","24",23,"g_p9","100","might",90,"gumball","purple",200,0.5
"34","24",24,"g_p1","0","bare not",10,"gumball","purple",100,0
"35","24",24,"g_p1","0","probably",10,"gumball","purple",100,0
"36","24",24,"g_p1","100","might",10,"gumball","purple",100,1
"37","24",25,"g_p7","0","bare not",70,"gumball","purple",200,0
