"","Order.number.of.item","Label","PennElementType","PennElementName","Parameter","Value","EventTime","trial_id","group","Comments","random_id"
"1",1,"consent","PennController","0","_Trial_","Start","1746120851187","NULL","","","24"
"2",1,"consent","Html","consent_form","prolific_id","65bfbd86a1ec730270fe8345","1746120862281","text input","","","24"
"3",1,"consent","PennController","0","_Trial_","End","1746120862282","NULL","","","24"
"4",1,"consent","Html","consent_form","consent","checked","1746120862282","checkbox","","","24"
"5",2,"instruction-start","PennController","1","_Trial_","Start","1746120862284","NULL","","","24"
"6",2,"instruction-start","PennController","1","_Trial_","End","1746120892664","NULL","","","24"
"7",3,"instruction-gumball","PennController","2","_Trial_","Start","1746120892666","NULL","","","24"
"8",3,"instruction-gumball","PennController","2","_Trial_","End","1746120901470","NULL","","","24"
"9",4,"instruction-A-1","PennController","3","_Trial_","Start","1746120901471","NULL","","","24"
"10",4,"instruction-A-1","PennController","3","_Trial_","End","1746120905143","NULL","","","24"
"11",5,"check-A-1","Button","go-back","Click",NA,"Never","NULL","","","24"
"12",5,"check-A-1","PennController","4","_Trial_","Start","1746120905144","NULL","","","24"
"13",5,"check-A-1","Button","proceed","Click","Click","1746120912744","NULL","","","24"
"14",5,"check-A-1","PennController","4","_Trial_","End","1746120912745","NULL","","","24"
"15",6,"instruction-slider-1","PennController","5","_Trial_","Start","1746120912746","NULL","","","24"
"16",6,"instruction-slider-1","PennController","5","_Trial_","End","1746120917053","NULL","","","24"
"17",7,"check-slider-1","PennController","6","_Trial_","Start","1746120917055","NULL","","","24"
"18",7,"check-slider-1","PennController","6","_Trial_","End","1746120925285","NULL","","","24"
"19",6,"instruction-slider-1","PennController","5","_Trial_","Start","1746120925286","NULL","","","24"
"20",6,"instruction-slider-1","PennController","5","_Trial_","End","1746120945650","NULL","","","24"
"21",7,"check-slider-1","PennController","6","_Trial_","Start","1746120945651","NULL","","","24"
"22",7,"check-slider-1","Button","proceed","Click","Click","1746120946683","NULL","","","24"
"23",7,"check-slider-1","PennController","6","_Trial_","End","1746120946684","NULL","","","24"
"24",8,"practice-gumball-start","PennController","7","_Trial_","Start","1746120946685","NULL","","","24"
"25",8,"practice-gumball-start","PennController","7","_Trial_","End","1746120949179","NULL","","","24"
"26",9,"practice-gumball","PennController","22","_Trial_","Start","1746120949180","g_p1","a","NULL","24"
"27",9,"practice-gumball","Scale","slider-1","Default","0","1746120949183","g_p1","a","slider","24"
"28",9,"practice-gumball","Scale","slider-3","Default","0","1746120949184","g_p1","a","slider","24"
"29",9,"practice-gumball","Scale","slider-2","Choice","100","1746120960814","g_p1","a","523","24"
"30",9,"practice-gumball","PennController","22","_Trial_","End","1746120962357","g_p1","a","NULL","24"
"31",10,"practice-gumball","PennController","23","_Trial_","Start","1746120962358","g_p9","a","NULL","24"
"32",10,"practice-gumball","Scale","slider-3","Default","0","1746120962359","g_p9","a","slider","24"
